time,value,delta
1666444645,61,77427
1666444717,61,77453
1666444825,61,77514
1666444888,61,77531
1666445005,61,77601
1666445058,61,77608
1666445185,61,77688
1666445229,61,77686
1666445366,61,77776
1666445398,61,77762
1666445546,61,77863
1666445568,61,77839
1666445726,61,77950
1666445738,61,77916
1666445906,61,78037
1666445908,61,77993
1666446079,61,78118
1666446086,61,78078
1666446249,61,78195
1666446266,61,78165
1666446419,61,78272
1666446446,61,78252
1666446588,61,78348
1666446626,61,78339
1666446758,61,78425
1666446806,61,78426
1666446928,61,78502
1666446986,61,78513
1666447098,61,78579
1666447166,61,78600
1666447269,61,78657
1666447346,61,78687
1666447439,61,78734
1666447526,61,78774
1666447609,61,78811
1666447706,61,78861
1666447779,61,78888
1666447886,61,78948
1666447949,61,78965
1666448067,61,79036
1666448119,61,79042
1666448247,61,79123
1666448289,61,79119
1666448427,61,79210
1666448459,61,79196
1666448607,61,79297
1666448630,61,79274
1666448787,61,79384
1666448800,61,79351
1666448967,61,79471
1666448970,61,79428
1666449140,61,79551
1666449147,61,79512
1666449309,61,79627
1666449327,61,79599
1666449382,61,79608
1666449400,61,79579
1666449410,61,79543
1666449479,61,79565
1666449589,61,79629
1666449650,61,79643
1666449769,61,79716
1666449820,61,79720
1666449949,61,79803
1666449990,61,79797
1666450129,61,79890
1666450160,61,79874
1666450309,61,79977
1666450330,61,79951
1666450489,61,80064
1666450500,61,80028
1666450670,61,80152
1666450670,61,80105
1666450840,61,80229
1666450850,61,80192
1666451011,61,80307
1666451030,61,80279
1666451180,61,80383
1666451210,61,80366
1666451350,61,80460
1666451390,61,80453
1666451521,61,80538
1666451570,61,80540
1666451691,61,80615
1666451750,61,80627
1666451861,61,80692
1666451930,61,80714
1666452030,61,80768
1666452110,61,80801
1666452201,61,80846
1666452290,61,80888
1666452371,61,80923
1666452470,61,80975
1666452541,61,81000
1666452650,61,81063
1666452711,61,81077
1666452830,61,81150
1666452881,61,81154
1666453010,61,81237
1666453051,61,81231
1666453190,61,81324
1666453221,61,81308
1666453371,61,81412
1666453392,61,81386
1666453551,61,81499
1666453561,61,81462
1666453731,61,81586
1666453732,61,81540
1666453902,61,81664
1666453911,61,81626
1666454071,61,81740
1666454091,61,81713
1666454241,61,81817
1666454271,61,81800
1666454411,61,81894
1666454451,61,81887
1666454582,61,81972
1666454631,61,81974
1666454752,61,82049
1666454811,61,82061
1666454922,61,82126
1666454991,61,82148
1666455092,61,82203
1666455171,61,82235
1666455262,61,82280
1666455351,61,82322
1666455432,61,82357
1666455531,61,82409
1666455602,61,82434
1666455711,61,82496
1666455773,61,82512
1666455891,61,82583
1666455942,61,82588
1666456072,61,82672
1666456112,61,82665
1666456252,61,82759
1666456282,61,82742
1666456432,61,82846
1666456452,61,82819
1666456612,61,82933
1666456622,61,82896
1666456792,61,83020
1666456794,61,82975
1666456965,61,83100
1666456972,61,83060
1666457135,61,83177
1666457152,61,83147
1666457305,61,83254
1666457332,61,83234
1666457475,61,83331
1666457512,61,83321
1666457645,61,83408
1666457692,61,83408
1666457815,61,83485
1666457872,61,83495
1666457985,61,83562
1666458052,61,83582
1666458155,61,83639
1666458232,61,83669
1666458325,61,83716
1666458412,61,83756
1666458495,61,83793
1666458592,61,83843
1666458665,61,83870
1666458772,61,83930
1666458835,61,83947
1666458953,61,84018
1666459005,61,84024
1666459133,61,84105
1666459175,61,84101
1666459313,61,84192
1666459345,61,84178
1666459493,61,84280
1666459515,61,84255
1666459673,61,84367
1666459686,61,84333
1666459853,61,84454
1666459856,61,84410
1666460026,61,84534
1666460033,61,84494
1666460196,61,84611
1666460213,61,84581
1666460367,61,84689
1666460393,61,84668
1666460537,61,84766
1666460573,61,84755
1666460707,61,84843
1666460753,61,84842
1666460877,61,84920
1666460933,61,84929
1666461048,61,84998
1666461113,61,85016
1666461218,61,85075
1666461293,61,85103
1666461388,61,85152
1666461473,61,85190
1666461557,61,85228
1666461654,61,85278
1666461727,61,85305
1666461834,61,85365
1666461897,61,85382
1666462014,61,85452
1666462067,61,85459
1666462194,61,85539
1666462238,61,85537
1666462374,61,85626
1666462408,61,85614
1666462554,61,85713
1666462578,61,85691
1666462734,61,85800
1666462748,61,85768
1666462914,61,85888
1666462917,61,85844
1666463088,61,85969
1666463094,61,85928
1666463258,61,86046
1666463274,61,86015
1666463429,61,86124
1666463454,53,86102
1666463599,53,86201
1666463634,53,86189
1666463768,53,86277
1666463814,53,86276
1666463938,53,86354
1666463994,53,86363
1666464108,53,86431
1666464174,53,86450
1666464278,53,86508
1666464355,53,86538
1666464448,53,86585
1666464535,53,86625
1666464619,53,86663
1666464715,53,86712
1666464789,53,86740
1666464895,53,86799
1666464959,53,86817
1666465075,53,86886
1666465129,53,86894
1666465255,53,86973
1666465299,53,86971
1666465435,61,87060
1666465469,61,87048
1666465615,61,87147
1666465638,61,87124
1666465795,61,87234
1666465809,61,87202
1666465975,61,87321
1666465979,61,87279
1666466149,61,87403
1666466155,61,87362
1666466319,61,87480
1666466335,61,87449
1666466489,61,87557
1666466515,61,87536
1666466660,61,87635
1666466695,61,87623
1666466830,61,87712
1666466875,61,87710
1666467000,61,87789
1666467056,61,87798
1666467170,61,87866
1666467236,61,87885
1666467340,61,87943
1666467416,61,87972
1666467510,61,88020
1666467596,69,88059
1666467680,69,88097
1666467776,69,88146
1666467850,69,88174
1666467956,69,88233
1666468020,69,88251
1666468136,69,88320
1666468191,69,88329
1666468316,69,88407
1666468360,69,88405
1666468496,69,88494
1666468530,69,88482
1666468676,69,88581
1666468700,69,88559
1666468856,69,88668
1666468870,69,88636
1666469036,69,88755
1666469040,69,88713
1666469210,69,88836
1666469216,69,88796
1666469381,69,88914
