generation_time,C.NTP.offset,Difference
1407240425127.0,1378.0,3345.0
1407240425164.0,50413.0,3361.0
1407240425173.0,105.0,3350.0
1407240425191.0,6683.0,3347.0
1407240425215.0,1124.0,3350.0
1407240425226.0,-23434.0,3341.0
1407240425253.0,-70798.0,3347.0
1407240425298.0,714.0,3371.0
1407240425321.0,-65610.0,3374.0
1407240425337.0,-890.0,3369.0
1407240425346.0,50413.0,3357.0
1407240425368.0,6683.0,3358.0
1407240425374.0,105.0,3344.0
1407240425394.0,-23434.0,3343.0
1407240425422.0,1378.0,3350.0
1407240425427.0,-70798.0,3335.0
1407240425455.0,1124.0,3342.0
1407240425503.0,-890.0,3369.0
1407240425508.0,-65610.0,3353.0
1407240425521.0,714.0,3346.0
1407240425536.0,105.0,3340.0
1407240425575.0,1378.0,3358.0
1407240425581.0,50413.0,3344.0
1407240425620.0,1124.0,3362.0
1407240425627.0,6683.0,3348.0
1407240425646.0,-23434.0,3346.0
1407240425657.0,-65610.0,3337.0
1407240425702.0,-70798.0,3361.0
1407240425704.0,714.0,3342.0
1407240425706.0,50413.0,3324.0
1407240425711.0,-890.0,3308.0
1407240425750.0,105.0,3326.0
1407240425779.0,1378.0,3334.0
1407240425784.0,6683.0,3319.0
1407240425808.0,-23434.0,3322.0
1407240425852.0,-70798.0,3345.0
1407240425859.0,1124.0,3332.0
1407240425875.0,-890.0,3327.0
1407240425898.0,714.0,3329.0
1407240425914.0,-65610.0,3324.0
1407240425966.0,1378.0,3356.0
1407240425975.0,50413.0,3344.0
1407240425986.0,105.0,3334.0
1407240426026.0,6683.0,3354.0
1407240426043.0,-70798.0,3350.0
1407240426064.0,-23434.0,3350.0
1407240426098.0,714.0,3363.0
1407240426100.0,1124.0,3345.0
1407240426116.0,-65610.0,3340.0
1407240426157.0,-890.0,3360.0
1407240426172.0,105.0,3355.0
1407240426174.0,6683.0,3336.0
1407240426189.0,50413.0,3330.0
1407240426207.0,1124.0,3327.0
1407240426240.0,-23434.0,3340.0
1407240426253.0,-70798.0,3332.0
1407240426304.0,1378.0,3362.0
1407240426311.0,-65610.0,3349.0
1407240426319.0,714.0,3336.0
1407240426347.0,-890.0,3343.0
1407240426350.0,50413.0,3325.0
1407240426379.0,105.0,3334.0
1407240426392.0,6683.0,3326.0
1407240426423.0,1378.0,3336.0
1407240426454.0,-23434.0,3347.0
1407240426461.0,50413.0,3333.0
1407240426483.0,-65610.0,3334.0
1407240426492.0,1124.0,3322.0
1407240426506.0,-70798.0,3316.0
1407240426526.0,-890.0,3315.0
1407240426575.0,105.0,3343.0
1407240426595.0,1378.0,3343.0
1407240426614.0,714.0,3341.0
1407240426637.0,6683.0,3343.0
1407240426673.0,-23434.0,3358.0
1407240426698.0,-70798.0,3363.0
1407240426709.0,1124.0,3353.0
1407240426720.0,714.0,3343.0
1407240426738.0,-890.0,3341.0
1407240426750.0,-65610.0,3332.0
1407240426774.0,50413.0,3335.0
1407240426782.0,105.0,3322.0
1407240426819.0,6683.0,3339.0
1407240426826.0,1378.0,3325.0
1407240426830.0,-23434.0,3308.0
1407240426898.0,-70798.0,3356.0
1407240426912.0,1124.0,3349.0
1407240426932.0,714.0,3348.0
1407240426936.0,-890.0,3332.0
1407240426949.0,-65610.0,3324.0
1407240426985.0,50413.0,3339.0
1407240427022.0,105.0,3355.0
1407240427031.0,6683.0,3344.0
1407240427048.0,1124.0,3340.0
1407240427054.0,-23434.0,3325.0
1407240427078.0,1378.0,3329.0
1407240427115.0,-70798.0,3345.0
1407240427119.0,-65610.0,3328.0
1407240427133.0,714.0,3321.0
1407240427174.0,-890.0,3342.0
1407240427179.0,1378.0,3326.0
1407240427188.0,105.0,3314.0
1407240427219.0,6683.0,3325.0
1407240427250.0,50413.0,3335.0
1407240427256.0,-23434.0,3320.0
